*WATER BALANCE OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS    SWTD    FWTD    SNTD   IRRD   PRED   DRND   ROFD   FROD   ESAD   EPAD   EFAD    WBAL   CUMWBAL       TOTS   TOTU   TOTX
 2003 161   105  318.58    0.00    0.00   0.00   0.00   0.00   0.00   0.00   1.56   4.00   0.00   -0.30      3.70       0.00   0.00  -3.70
 2003 162   106  313.71    0.00    0.00   0.00   0.00   0.00   0.00   0.00   1.16   3.70   0.00    0.01      3.71       0.00   0.00  -3.71
 2003 163   107  310.72    0.00    0.00   0.00   2.80   0.00   0.00   0.00   2.24   3.71   0.00   -0.17      3.54       2.80   0.00  -3.54
 2003 164   108  313.01    0.00    0.00   0.00   6.90   0.00   0.00   0.00   1.84   3.54   0.00   -0.76      2.78       6.90   0.00  -2.78
 2003 165   109  310.90    0.00    0.00   0.00   2.80   0.00   0.00   0.00   2.05   2.78   0.00    0.08      2.86       2.80   0.00  -2.86
 2003 166   110  304.87    0.00    0.00   0.00   0.00   0.00   0.00   0.00   1.96   2.86   0.00    1.22      4.07       0.00   0.00  -4.08
 2003 167   111  327.89    0.00    0.00   0.00  28.70   0.00   0.00   0.00   2.37   4.08   0.00   -0.77      3.31      28.70   0.00  -3.31
 2003 168   112  339.07    0.00    0.00   0.00  16.50   0.00   0.01   0.00   2.22   3.31   0.00   -0.22      3.09      16.49   0.00  -3.09
 2003 169   113  343.97    0.00    0.00   0.00   7.60   0.00   0.00   0.00   1.13   3.09   0.00   -1.52      1.57       7.60   0.00  -1.57
 2003 170   114  341.76    0.00    0.00   0.00   2.50   0.00   0.00   0.00   1.97   1.57   0.00    1.17      2.74       2.50   0.00  -2.74
 2003 171   115  338.99    0.00    0.00   0.00   0.50   0.00   0.00   0.00   1.37   2.74   0.00   -0.84      1.91       0.50   0.00  -1.91
 2003 172   116  332.92    0.00    0.00   0.00   0.00   0.00   0.00   0.00   1.87   1.91   0.00    2.30      4.20       0.00   0.00  -4.20
 2003 173   117  326.52    0.00    0.00   0.00   0.00   0.00   0.00   0.00   2.19   4.20   0.00    0.00      4.21       0.00   0.00  -4.21
 2003 174   118  321.11    0.00    0.00   0.00   0.00   0.00   0.00   0.00   1.34   4.21   0.00   -0.14      4.07       0.00   0.00  -4.07
 2003 175   119  316.18    0.00    0.00   0.00   0.00   0.00   0.00   0.00   1.06   4.07   0.00   -0.20      3.87       0.00   0.00  -3.87
 2003 176   120  311.29    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.91   3.87   0.00    0.11      3.98       0.00   0.00  -3.98
 2003 177   121  306.36    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.81   3.98   0.00    0.14      4.12       0.00   0.00  -4.12
 2003 178   122  301.49    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.73   4.12   0.00    0.02      4.14       0.00   0.00  -4.14
 2003 179   123  298.65    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.51   4.14   0.00   -1.82      2.33       0.00   0.00  -2.33
 2003 180   124  299.48    0.00    0.00   0.00   3.00   0.00   0.00   0.00   0.18   2.33   0.00   -0.34      1.98       3.00   0.00  -1.98
 2003 181   125  315.19    0.00    0.00   0.00  20.10   0.00   0.00   0.00   1.83   1.98   0.00    0.57      2.55      20.10   0.00  -2.55
 2003 182   126  340.00    0.00    0.00   0.00  26.90   0.00   0.13   0.00   0.82   2.55   0.00   -1.41      1.14      26.77   0.00  -1.14
 2003 183   127  338.62    0.00    0.00   0.00   2.50   0.00   0.00   0.00   1.62   1.14   0.00    1.12      2.26       2.50   0.00  -2.26
 2003 184   128  364.33    0.00    0.00   0.00  33.50   0.00   2.21   0.00   2.33   2.26   0.00    0.98      3.25      31.29   0.00  -3.25
 2003 185   129  360.96    0.00    0.00   0.00   1.30   0.00   0.00   0.00   1.97   3.25   0.00   -0.55      2.70       1.30   0.00  -2.70
 2003 186   130  355.57    0.00    0.00   0.00   0.50   0.00   0.00   0.00   1.95   2.70   0.00    1.23      3.93       0.50   0.00  -3.93
 2003 187   131  352.05    0.00    0.00   0.00   1.00   0.00   0.00   0.00   1.94   3.93   0.00   -1.36      2.58       1.00   0.00  -2.58
 2003 188   132  347.65    0.00    0.00   0.00   0.00   0.00   0.00   0.00   1.85   2.58   0.00   -0.02      2.56       0.00   0.00  -2.56
 2003 189   133  342.27    0.00    0.00   0.00   0.00   0.00   0.00   0.00   1.26   2.56   0.00    1.55      4.12       0.00   0.00  -4.12
 2003 190   134  337.56    0.00    0.00   0.00   0.00   0.00   0.00   0.00   1.02   4.12   0.00   -0.42      3.69       0.00   0.00  -3.69
 2003 191   135  332.93    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.88   3.69   0.00    0.06      3.75       0.00   0.00  -3.75
 2003 192   136  328.96    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.79   3.75   0.00   -0.57      3.18       0.00   0.00  -3.18
 2003 193   137  324.85    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.72   3.18   0.00    0.21      3.39       0.00   0.00  -3.39
 2003 194   138  321.83    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.66   3.39   0.00   -1.03      2.36       0.00   0.00  -2.36
 2003 195   139  319.37    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.44   2.36   0.00   -0.34      2.02       0.00   0.00  -2.02
 2003 196   140  315.94    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.22   2.02   0.00    1.20      3.21       0.00   0.00  -3.21
