*SOIL NITROGEN DAILY OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 2003 131    75    62     2     2.2   32.6       2   31.5    1.0   5.8   7.8   3.8   3.1   1.7   1.2   0.7   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.00  0.00  0.12  0.12  0.00    1.32   37.77    0.19    0.42    0.61
 2003 132    76    62     2     2.2   30.1       2   29.1    1.0   5.8   6.9   3.3   2.5   1.5   1.2   0.7   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.00  0.00  0.12  0.12  0.00    1.34   37.81    0.19    0.42    0.61
 2003 133    77    62     2     2.2   28.0       2   27.0    1.0   5.8   6.1   3.0   2.0   1.4   1.2   0.7   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.00  0.00  0.12  0.12  0.00    1.35   37.84    0.19    0.42    0.61
 2003 134    78    62     2     2.2   26.5       2   25.6    1.0   5.8   5.5   2.7   1.8   1.2   1.2   0.7   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.00  0.00  0.12  0.12  0.00    1.36   37.87    0.19    0.42    0.61
 2003 135    79    62     2     2.2   26.0       2   25.0    0.9   5.8   5.3   2.7   1.7   1.1   1.2   0.7   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.00  0.00  0.12  0.11  0.00    1.37   37.90    0.19    0.42    0.61
 2003 136    80    62     2     2.2   25.0       2   24.0    0.9   5.1   5.2   2.6   1.6   1.0   1.2   0.7   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.00  0.00  0.11  0.11  0.00    1.39   37.92    0.19    0.42    0.61
 2003 137    81   116     3     2.2   78.3       2   50.6   27.7  50.3   5.0   2.5   1.5   0.9   1.1   0.7   0.7   0.7   0.0  44.7   0.1   0.0   0.0   0.0  0.00  0.00  0.11  0.11  0.00    1.39   37.95    0.19    0.42    0.69
 2003 138    82   116     3     2.2   77.8       2   55.8   22.0  56.9   6.3   2.5   1.4   0.8   1.1   0.7   0.8   0.7   0.0  35.2   0.1   0.0   0.0   0.0  0.00  0.00  0.11  0.11  0.00    1.40   43.54    0.20    0.42    0.74
 2003 139    83   116     3     2.2   76.3       2   75.4    0.9  86.8   7.7   2.5   1.4   0.8   1.1   0.7   0.8   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.00  0.00  0.11  0.11  0.00    1.45   63.81    0.20    0.42    0.77
 2003 140    84   116     3     2.2   75.2       2   74.3    0.9  83.3   8.5   2.5   1.4   0.8   1.1   0.7   0.8   0.7   0.0   0.1   0.1   0.0   0.0   0.0  0.00  0.00  0.11  0.11  0.00    1.49   63.83    0.20    0.42    0.77
 2003 141    85   116     3     2.2   74.3       2   73.5    0.8  83.4   8.0   2.5   1.3   0.7   1.1   0.7   0.8   0.7   0.0   0.0   0.0   0.0   0.0   0.0  0.00  0.00  0.11  0.10  0.00    1.50   63.86    0.20    0.42    0.79
 2003 142    86   116     3     2.2   74.3       2   73.5    0.8  36.9  31.2   2.5   1.3   0.7   1.1   0.7   0.8   0.7   0.0   0.0   0.0   0.0   0.0   0.0  0.00  0.00  0.10  0.10  0.00    1.51   63.88    0.20    0.42    0.79
 2003 143    87   116     3     2.2   74.4       2   73.5    0.9  32.9  33.1   2.6   1.3   0.7   1.1   0.7   0.8   0.7   0.0   0.1   0.1   0.0   0.0   0.0  0.00  0.00  0.10  0.10  0.00    1.56   63.90    0.20    0.42    0.79
 2003 144    88   116     3     2.2   74.4       2   73.6    0.8  30.8  34.0   2.8   1.3   0.7   1.1   0.7   0.8   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.00  0.00  0.10  0.10  0.00    1.64   63.98    0.20    0.42    0.82
 2003 145    89   116     3     2.2   72.7       2   71.8    0.8  28.9  33.4   3.0   1.3   0.7   1.1   0.7   0.8   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.00  0.00  0.10  0.10  0.00    1.68   64.01    0.20    0.42    0.83
 2003 146    90   116     3     2.2   70.8       2   70.0    0.8  28.9  31.8   3.1   1.3   0.6   1.1   0.7   0.8   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.00  0.00  0.10  0.10  0.00    1.70   64.04    0.20    0.42    0.84
 2003 147    91   116     3     2.2   70.8       2   70.0    0.8  28.9  31.7   3.1   1.3   0.6   1.1   0.7   0.8   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.00  0.00  0.10  0.09  0.00    1.71   64.06    0.20    0.42    0.84
 2003 148    92   116     3     2.2   70.8       2   70.0    0.8  28.9  31.7   3.2   1.3   0.6   1.1   0.7   0.8   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.00  0.00  0.10  0.09  0.00    1.72   64.08    0.20    0.42    0.84
