XK 	47.5	54.2	12.9	10.5	39.6	35.3
XL	76	70.8	8	8.4	16.1	20.9
XL 	83.3	79.3	6.5	6.2	10.3	14.5
XL 	66.7	62.3	10.8	10.8	22.7	27.1
XL 	38.2	27	12.7	16.2	49.2	56.9
XY	64.6	56.3	21.1	23.5	14.4	20.2
XY 	96.7	86.6	1.3	5.3	2	8.1
XY 	32.4	26	40.9	41.7	26.7	32.3
XY 	-1	-1	-1	-1	-1	-1
Y	49.2	42.4	26	27.9	24.8	29.3
YH	50.4	40.8	29	38.9	20.6	20.3
YH 	-1	-1	-1	-1	-1	-1
YH 	50.4	40.8	29	38.9	20.6	20.3
YH 	-1	-1	-1	-1	-1	-1
YK	63.5	51	17.9	21.1	18.7	27.5
YK 	82.4	76.7	10.4	15	7.6	8.4
YK 	57.7	47.3	25.7	30.3	16.6	21.9
YK 	31.4	3.3	25	24	43	71.3
YL	69.8	53	5.7	8.3	24.4	38.7
YL 	-1	-1	-1	-1	-1	-1
YL 	69.8	53	5.7	8.3	24.4	38.7
YL 	-1	-1	-1	-1	-1	-1
YT	-1	-1	-1	-1	-1	-1
YT 	-1	-1	-1	-1	-1	-1
YT 	-1	-1	-1	-1	-1	-1
YT 	-1	-1	-1	-1	-1	-1
YY	49	48.5	10.7	9.4	40.3	41.8
YY 	96	94.7	3	4.1	1	1.2
YY 	-1	-1	-1	-1	-1	-1
YY 	2	2.3	18.3	14.7	79.5	82.4
Z	39.5	36.7	23.4	24.8	37.2	38.6
ZG	47.8	41.7	8.5	11	43.8	47.4
ZG 	78.1	62.1	8.2	13.9	13.7	23.9
ZG 	65.9	66.5	3.6	5.1	30.5	28.8
ZG 	23.6	19.2	11	12.4	65.5	68.5
ZM	48.4	48.9	34.1	36.9	17.5	15.3
ZM 	-1	-1	-1	-1	-1	-1
ZM 	48.4	48.9	34.1	36.9	17.5	15.3
ZM 	-1	-1	-1	-1	-1	-1
ZO	43.2	37.2	24.6	24.5	32.4	38.2
ZO 	95.6	75.9	0.8	2.5	4.2	21.3
ZO 	37.9	34.7	45.6	46.2	16.6	19.2
ZO 	22.2	20.5	15.7	13.7	62.2	65.7
ZT	19.2	25.2	37.6	39.6	43.1	35.2
ZT 	-1	-1	-1	-1	-1	-1
ZT 	46.9	63.9	30.7	24.6	22.1	11.5
ZT 	5.4	5.8	41.1	47.2	53.6	47.1
